CONVERSION_ID	TYPE	VARIANT	SYSTEM	FACT	DIV	OFFS	PhOf	UNIT	Remark	Parameters	Beschreibung
AIRFLOW	LINEAR	0	IMPERIAL	1	756	0	0	lb/min	Air Flow		
ANGLE	LINEAR	0	METRIC	1	2	-128	0	°	Angle (Timing adv)		
ANGLE	LINEAR	0	IMPERIAL	1	2	-128	0	°	Angle (Timing adv)		
DISTANCE	LINEAR	0	METRIC	1	1	0	0	km	Distance		
DISTANCE	LINEAR	0	IMPERIAL	1000	1609	0	0	miles	Distance		
HOURS	LINEAR	0	METRIC	1	60	0	0	h	Time (hours)		
HOURS	LINEAR	0	IMPERIAL	1	60	0	0	h	Time (hours)		
ONETOONE	LINEAR	0	METRIC	1	1	0	0		OneToOne		
ONETOONE	LINEAR	0	IMPERIAL	1	1	0	0		OneToOne		
PERCENT	LINEAR	0	METRIC	100	255	0	0	%	Percent		
PERCENT	LINEAR	0	IMPERIAL	100	255	0	0	%	Percent		
PERCENT_REL	LINEAR	0	METRIC	100	255	-128	0	%	Percent relative		
PERCENT_REL	LINEAR	0	IMPERIAL	100	255	-128	0	%	Percent relative		
PERCENT7	LINEAR	0	METRIC	100	128	0	0	%	Percent 7Bit (Fuel Trim)		
PERCENT7	LINEAR	0	IMPERIAL	100	128	0	0	%	Percent 7Bit (Fuel Trim)		
PERCENT7_REL	LINEAR	0	METRIC	100	128	-128	0	%	Percent 7Bit relative)		
PERCENT7_REL	LINEAR	0	IMPERIAL	100	128	-128	0	%	Percent 7Bit relative)		
PRESS	LINEAR	0	METRIC	3	1	0	0	kPa	Pressure		
PRESS	LINEAR	0	IMPERIAL	4351	10000	0	0	PSI	Pressure		
PRESS_AIR	LINEAR	0	METRIC	1	1	0	0	kPa	Pressure (intake)		
PRESS_AIR	LINEAR	0	IMPERIAL	2953	10000	0	0	inHg	Pressure (intake)		
PRESS_REL	LINEAR	0	METRIC	79	1000	0	0	kPa	Pressure (relative)		
PRESS_REL	LINEAR	0	IMPERIAL	100	8727	0	0	PSI	Pressure (relative)		
PRESS_VAPOR	LINEAR	0	METRIC	1	4	0	0	Pa	Pressure (Vapor)		
PRESS_VAPOR	LINEAR	0	IMPERIAL	100	99635	0	0	in H2O	Pressure (Vapor)		
PRESS_WIDERANGE	LINEAR	0	METRIC	10	1	0	0	kPa	Pressure (wide range)		
PRESS_WIDERANGE	LINEAR	0	IMPERIAL	14504	10000	0	0	PSI	Pressure (wide range)		
RATIO	LINEAR	0	METRIC	100	32768	0	0	%	Ratio		
RATIO	LINEAR	0	IMPERIAL	100	32768	0	0	%	Ratio		
RATIO_RELATIVE	LINEAR	0	METRIC	100	65535	0	0	%	Ratio relative		
RATIO_RELATIVE	LINEAR	0	IMPERIAL	100	65535	0	0	%	Ratio relative		
RATIO_WIDERANGE	LINEAR	0	METRIC	100	256	-32768	0	%	Ratio (wide range)		
RATIO_WIDERANGE	LINEAR	0	IMPERIAL	100	256	-32768	0	%	Ratio (wide range)		
RPM	LINEAR	0	METRIC	1	4	0	0	/min	engine speed		
RPM	LINEAR	0	IMPERIAL	1	4	0	0	/min	engine speed		
SPEED_HIGHRES	LINEAR	0	METRIC	1	128	0	0	km/h	vehicle speed		
SPEED_HIGHRES	LINEAR	0	IMPERIAL	100	20595	0	0	mph	vehicle speed		
TEMP_WIDERANGE	LINEAR	0	METRIC	1	10	-40	0	°C	Temperature (wide range)		
TEMP_WIDERANGE	LINEAR	0	IMPERIAL	9	50	-40	32	°F	Temperature (wide range)		
TEMPERATURE	LINEAR	0	METRIC	1	1	-40	0	°C	Temperature		
TEMPERATURE	LINEAR	0	IMPERIAL	9	5	-40	32	°F	Temperature		
TORQUE	LINEAR	0	METRIC	1	1	0	0	Nm	Torque		
TORQUE	LINEAR	0	IMPERIAL	1	1	0	0	Nm	Torque		
VEHSPEED	LINEAR	0	METRIC	1	1	0	0	km/h	vehicle speed		
VEHSPEED	LINEAR	0	IMPERIAL	1000	1609	0	0	mph	vehicle speed		
VOLTAGE	LINEAR	0	METRIC	1	1000	0	0	V	Voltage		
VOLTAGE	LINEAR	0	IMPERIAL	1	1000	0	0	V	Voltage		
VOLTAGE_HIGHRES	LINEAR	0	METRIC	10	81967	0	0	V	Voltage (high resolution)		
VOLTAGE_HIGHRES	LINEAR	0	IMPERIAL	10	81967	0	0	V	Voltage (high resolution)		
